id,feature,screen,user_story,expected_behavior,edge_cases,status,error_notes,test_file,priority
SPLASH-001,Splash/Onboarding,SplashView,"As a new user, I want to see an onboarding experience when I first open the app, so that I understand the app's value proposition","- App shows 3 onboarding slides on first launch\n- Slides: Live Tours (gold), Verified (blue), Support (green)\n- Each slide has frosted glass bottom dock with title and description\n- User can swipe between slides\n- Background images load correctly","- First launch only (has_seen_onboarding persisted)\n- Returning user skips onboarding\n- Very slow image loading\n- Screen rotation during onboarding",not_tested,'Splash controller uses late fields (fixed to nullable); auth initial state handling added',test/features/splash/presentation/views/splash_view_test.dart,P0
SPLASH-002,Splash/Onboarding,SplashView,"As a new user, I want to navigate through onboarding slides using Next/Back buttons, so that I can control the pace","- Next button advances to next slide\n- Back button returns to previous slide\n- Back button hidden on first slide\n- Next button changes to 'Get Started' on last slide\n- Skip button jumps directly to auth","- Rapid button tapping\n- Swipe + button tap combination\n- Back from second slide goes to first",not_tested,'Splash controller uses late fields (fixed to nullable); auth initial state handling added',test/features/splash/presentation/views/splash_view_test.dart,P0
SPLASH-003,Splash/Onboarding,SplashView,"As a new user, I want to skip onboarding if I'm not interested, so that I can start using the app immediately","- Skip button visible on all slides\n- Tapping skip navigates to /phone-entry\n- has_seen_onboarding set to true in GetStorage\n- Subsequent app opens skip onboarding","- Skip during slide transition animation\n- Storage write failure",not_tested,'Splash controller uses late fields (fixed to nullable); auth initial state handling added',test/features/splash/presentation/views/splash_view_test.dart,P0
AUTH-001,Auth/Phone Entry,PhoneEntryView,"As a user, I want to enter my phone number or email to start authentication, so that I can access the app","- Input field accepts both email and phone formats\n- Auto-detects input type (email vs phone)\n- Shows appropriate keyboard type\n- Continue button enabled only with valid input\n- Validation shake animation on invalid input","- Empty input submission\n- Invalid email format\n- Invalid phone format\n- Very long input strings\n- Special characters in input",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/phone_entry_controller_test.dart,P0
AUTH-002,Auth/Phone Entry,PhoneEntryView,"As a user, I want to sign in with Google, so that I can quickly authenticate without creating a new account","- Google Sign-In button visible\n- Triggers Google OAuth flow\n- On success, checks identifier status and routes appropriately\n- On failure, shows error toast\n- Last used method hint displayed","- Google account with no email\n- User cancels Google flow\n- Network error during OAuth\n- Google services unavailable",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/phone_entry_controller_test.dart,P0
AUTH-003,Auth/Phone Entry,PhoneEntryView,"As a user, I want to sign in with Apple, so that I can use my Apple ID on iOS devices","- Apple Sign-In button visible (iOS only)\n- Triggers Apple OAuth flow\n- On success, routes based on account status\n- On failure, shows error toast\n- Handles Apple's Hide My Email","- User cancels Apple flow\n- Apple ID with restricted email\n- Non-iOS device (button hidden)",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/phone_entry_controller_test.dart,P0
AUTH-004,Auth/Phone Entry,PhoneEntryView,"As a returning user, I want to be routed to login if my account exists, or signup if it doesn't, so that I have a seamless entry","- After identifier entry, calls checkIdentifierStatus()\n- Existing account → /login\n- New account → /signup\n- Loading state while checking\n- Error handling for API failure","- Very slow API response\n- Account exists but is deactivated\n- Concurrent identifier checks",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/phone_entry_controller_test.dart,P0
AUTH-005,Auth/Login,LoginView,"As a returning user, I want to log in with my email/phone and password, so that I can access my account","- Shows identifier as banner\n- Password field with visibility toggle\n- Login button submits credentials\n- Success → dashboard\n- Error → appropriate error message\n- Loading indicator during login","- Wrong password\n- Empty password\n- Account locked\n- Network timeout during login\n- Very long password",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/login_controller_test.dart,P0
AUTH-006,Auth/Login,LoginView,"As a user, I want to log in with OTP instead of password, so that I have an alternative authentication method","- OTP option available on login screen\n- Sends OTP to registered phone/email\n- 6-digit OTP input field\n- OTP auto-fill support (Android SMS)\n- Verify button submits OTP\n- Success → dashboard","- OTP expiry\n- Invalid OTP entry\n- Resend OTP cooldown\n- Multiple OTP requests\n- OTP auto-fill fails",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/login_controller_test.dart,P0
AUTH-007,Auth/Login,LoginView,"As a user, I want to navigate to forgot password from the login screen, so that I can reset my credentials","- 'Forgot Password' link visible on login screen\n- Tapping navigates to /forgot-password\n- Works from both password and OTP steps","- Rapid tapping\n- Navigation during loading state",fixed,"Multiple auth errors found and fixed: signup resendOtp wrong method, null crash in forgot password, incomplete redirect args, phone numbers logged in plaintext, back button loading guard, duplicate error display, post-reset navigation",test/features/auth/presentation/controllers/login_controller_test.dart,P1
